IP|classification|actor|last-seen
104.237.135.202|benign|binaryedge.io|2020-01-04
209.97.187.249|benign|binaryedge.io|2020-01-04
45.76.133.47|malicious|unknown|2020-01-04
142.93.220.107|benign|binaryedge.io|2020-01-04
45.33.125.100|benign|binaryedge.io|2020-01-04
173.199.71.244|malicious|unknown|2020-01-04
45.32.115.211|unknown|unknown|2019-12-20
223.71.167.61|malicious|unknown|2019-12-19
223.71.167.154|malicious|unknown|2019-12-19
223.71.167.155|malicious|unknown|2019-12-18
85.25.185.112|unknown|unknown|2019-12-15
188.138.125.44|malicious|unknown|2019-12-13
223.71.167.62|malicious|unknown|2019-12-11
